gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
19102,Dearest,"Piper, H. Beam",8301,en,Science Fiction,Public domain in the USA.,TRUE
19111,Code Three,"Raphael, Rick",8476,en,Science Fiction,Public domain in the USA.,TRUE
19141,Edison's Conquest of Mars,"Serviss, Garrett Putman",2120,en,Science Fiction,Public domain in the USA.,TRUE
19145,The Time Traders,"Norton, Andre",7021,en,Science Fiction/Science Fiction by Women,Public domain in the USA.,TRUE
19158,The Return,"McGuire, John Joseph",7954,en,Science Fiction,Public domain in the USA.,TRUE
19158,The Return,"Piper, H. Beam",8301,en,Science Fiction,Public domain in the USA.,TRUE
19174,The Man Who Rocked the Earth,"Wood, Robert Williams",668,en,Science Fiction,Public domain in the USA.,TRUE
19174,The Man Who Rocked the Earth,"Train, Arthur Cheney",1756,en,Science Fiction,Public domain in the USA.,TRUE
19231,The Mummy and Miss Nitocris: A Phantasy of the Fourth Dimension,"Griffith, George Chetwynd",8557,en,Science Fiction,Public domain in the USA.,TRUE
19338,The Keeper,"Piper, H. Beam",8301,en,Science Fiction,Public domain in the USA.,TRUE
19362,In the Year 2889,"Verne, Jules",60,en,Science Fiction,Public domain in the USA.,TRUE
19362,In the Year 2889,"Verne, Michel",8617,en,Science Fiction,Public domain in the USA.,TRUE
19370,Ullr Uprising,"Piper, H. Beam",8301,en,Science Fiction,Public domain in the USA.,TRUE
19445,Omnilingual,"Piper, H. Beam",8301,en,Science Fiction,Public domain in the USA.,TRUE
19471,Badge of Infamy,"Del Rey, Lester",8240,en,Science Fiction,Public domain in the USA.,TRUE
19474,Uller Uprising,"Piper, H. Beam",8301,en,Science Fiction,Public domain in the USA.,TRUE
19476,A Honeymoon in Space,"Griffith, George Chetwynd",8557,en,Science Fiction,Public domain in the USA.,TRUE
19478,Four-Day Planet,"Piper, H. Beam",8301,en,Science Fiction,Public domain in the USA.,TRUE
19506,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",53,en,Precursors of Science Fiction,Public domain in the USA.,TRUE
19513,A Journey to the Center of the Earth,"Verne, Jules",60,en,Science Fiction,Public domain in the USA.,TRUE
19515,A Princess of Mars,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
19526,Stand by for Mars!,"Rockwell, Carey",8081,en,Science Fiction,Public domain in the USA.,TRUE
19651,Key Out of Time,"Norton, Andre",7021,en,Science Fiction/Science Fiction by Women,Public domain in the USA.,TRUE
19660,Man of Many Minds,"Evans, E. Everett (Edward Everett)",8800,en,Science Fiction,Public domain in the USA.,TRUE
19709,Danger in Deep Space,"Rockwell, Carey",8081,en,Science Fiction,Public domain in the USA.,TRUE
19726,The Door Through Space,"Bradley, Marion Zimmer",8842,en,Science Fiction/Science Fiction by Women,Public domain in the USA.,TRUE
19731,"Under the Ocean to the South Pole; Or, the Strange Cruise of the Submarine Wonder","Rockwood, Roy",1625,en,Science Fiction,Public domain in the USA.,TRUE
